data1;tiempo1;tiempo2;data2;casos_con_sintomas;casos_sin_sintomas;uci;pcr;casos_activos;fallecidos;fim_cuarentena;region;poblacion_region;codigo_region;segunda_cuarentena;id;comuna;codigo_comuna_c;ingreso_per_capita;escolaridad;pobreza;alcantarillado;indice_desarrollo_humano;porcentaje_rural;porcentaje_sector_primario;poblacion;capital_regional;capital_provincial;aeropuerto;puerto;poblacion_edad_15_a_64;poblacion_edad_0_a_4;poblacion_edad_5_a_9;poblacion_edad_10_a_14;poblacion_edad_15_a_19;poblacion_edad_20_a_24;poblacion_edad_25_a_29;poblacion_edad_30_a_34;poblacion_edad_35_a_39;poblacion_edad_40_a_44;poblacion_edad_45_a_49;poblacion_edad_50_a_54;poblacion_edad_55_a_59;poblacion_edad_60_a_64;poblacion_edad_65_a_69;poblacion_edad_70_a_74;poblacion_edad_75_a_79;poblacion_edad_80_y_mas;idse;densidad_poblacional;hacinamiento;inmigrantes;ips;indice_ruralidad
19-12-2020;63;69;25-12-2020;298;76;110;5439;116;18;0;Biobio;1663696;8;0;16;Canete;8203;107.4;8.3;27.2;71.4;0.398;0.435561861;0.139762139;37003;0;0;0;0;22177;2067;2749;2736;2407;2181;2507;2343;2398;2378;2296;2196;1984;1664;1375;1046;729;847;405;33.99;2.69;86;NA;54.36
14-11-2020;42;44;16-11-2020;64;39;49;1808;12;6;1;La Araucania;1014343;9;0;17;Carahue;9102;105;8.1;30.5;46;0.353;0.459788856;0.248143147;25486;0;0;0;0;15312;1420;1821;1874;1801;1456;1663;1497;1468;1516;1633;1629;1507;1331;1085;918;728;759;342;19.06;2.56;16;NA;60.27
25-08-2020;112;118;31-08-2020;294;178;541;10690;42;86;1;Metropolitana;8125072;13;0;18;Cerrillos;13102;209;10.3;9.5;97.3;0.609;0;0.007406236;88956;0;0;0;0;53650;4441;5492;5204;5861;7171;6456;5694;5398;5627;5275;5396;4510;3602;2963;2550;1862;1958;677;5288.7;3.29;3620;64.36;25.56
25-09-2020;140;143;28-09-2020;301;122;418;12989;83;283;1;Metropolitana;8125072;13;0;19;Cerro Navia;13103;141.3;9.1;16.8;95.7;0.482;0;0.005926071;142465;0;0;0;0;89915;7099;8712;8651;9716;11541;11173;8898;8142;8855;9115;9063;7466;6013;5340;4550;3160;2916;562;12892.76;3.49;6022;81.04;13.81
16-10-2020;49;52;19-10-2020;176;59;84;3669;119;25;1;Biobio;1663696;8;0;20;Chiguayante;8103;255.3;11.5;14.9;98;0.674;0.000872722;0.011700404;91180;0;0;0;0;59386;4187;5883;5653;6615;7260;6961;5357;5282;5409;6239;6457;5482;4369;3464;2477;1733;1768;682;1277.03;2.97;412;NA;31.95
20-04-2020;21;24;23-04-2020;8;NA;15;158;35;NA;1;Nuble;511551;16;0;21;Chillan;16101;159.7;10.3;17.8;95.7;0.539;0.087106675;0.054592367;198624;0;0;0;0;125306;9343;12368;12392;13879;14020;14067;12654;12050;12485;13095;12959;11374;9328;7355;5818;4190;4430;625;415.9;2.72;1803;NA;38.16
20-04-2020;21;24;23-04-2020;7;NA;15;126;6;NA;1;Nuble;511551;16;0;22;Chillan Viejo;16103;168.4;10.3;17.3;93.5;0.564;0.113178244;0.070278417;33827;0;0;0;0;20805;1696;2461;2329;2366;2247;2400;2227;2119;2326;2299;2128;1600;1329;1020;777;550;503;629;128.81;2.74;115;NA;40.2
30-09-2020;28;31;03-10-2020;31;11;15;720;51;2;1;Nuble;511551;16;1;23;Chillan Viejo_2;16103;168.4;10.3;17.3;93.5;0.564;0.113178244;0.070278417;33827;0;0;0;0;20805;1696;2461;2329;2366;2247;2400;2227;2119;2326;2299;2128;1600;1329;1020;777;550;503;629;128.81;2.74;115;NA;40.2
30-09-2020;28;31;03-10-2020;31;11;15;914;243;41;1;Nuble;511551;16;1;24;Chillan_2;16101;159.7;10.3;17.8;95.7;0.539;0.087106675;0.054592367;198624;0;0;0;0;125306;9343;12368;12392;13879;14020;14067;12654;12050;12485;13095;12959;11374;9328;7355;5818;4190;4430;625;415.9;2.72;1803;NA;38.16
19-12-2020;35;39;23-12-2020;135;60;37;1566;14;5;1;La Araucania;1014343;9;0;25;Cholchol;9121;103;7.5;28.7;45.4;0.366;0.624838515;0.240010312;12341;0;0;0;0;7279;640;927;938;988;769;735;710;705;707;726;705;689;567;453;418;308;412;311;28.89;2.76;18;NA;65.38
